,0
0,-3.037738486056132
1,-0.5306820730321229
2,-3.2230317935231763
3,4.94357374296727
4,-8.82200517025139
5,-1.835012120385544
6,12.062451715757753
7,3.1440502719778913
8,4.3513349533033185
9,6.177672216120751
10,1.270365501728926
11,2.3897670817098575
12,4.141408248515883
13,5.726221193063221
14,-3.6850351210344634
15,0.8315348435833627
16,-0.5909275066617026
17,4.167217472140857
18,0.8049544007584337
19,-4.474918036610735
20,3.467470772189367
21,2.644751559133309
22,2.3586339292951726
23,8.663199315147292
24,7.757239497236808
25,4.579090060792867
26,10.353396156884317
27,1.143105415848594
28,-4.0961995367887365
29,9.757043933382747
30,3.1385582614023972
31,1.4980021162820116
32,-1.0308520254156948
33,1.1328554029688815
34,-3.285172519256995
35,4.545860853367376
36,-3.521606508745275
37,0.9326157362968983
38,4.173993219821
39,1.371900832652078
40,9.262038919342963
41,8.957002038447943
42,4.584157689994552
43,2.12499612447233
44,7.164971990421855
45,5.833581530159409
46,4.644947041887785
47,7.9055137637457715
48,3.91146421167487
49,8.38138805819301
50,-0.9436254828108348
51,3.4415157231361624
52,5.350380690621676
53,-0.23957586054671332
54,2.6503755092612997
55,-4.664547796292746
56,12.639589017800828
57,8.865541317002213
58,16.863734426833123
59,3.2669886063828497
60,8.714408393721378
61,5.677601479702107
62,12.660075077155494
63,5.416447154864674
64,14.838935759949495
65,1.266932288067931
66,9.810601042771776
67,5.835191314216665
68,1.239675126690556
69,6.79648609197367
70,-2.067608870302937
71,8.117609466487956
72,9.85937021512298
73,2.2148826839538387
74,-1.8402527116524272
75,8.362745367538542
76,11.53100766590759
77,7.342649851479332
78,11.98174385308836
79,6.908855554972401
80,7.538637178536965
81,12.453629393312628
82,4.004037600774582
83,12.416276871048984
84,11.908761810144046
85,11.491802563822198
86,6.0600251378840735
87,9.38069058230687
88,1.3394270386718095
89,11.958327682977416
90,15.84763793673908
91,0.586342915156397
92,6.606095116368666
93,3.126483843404852
94,-5.004972947765388
95,9.42138358249928
96,1.1365767570854768
97,6.601826732547681
98,14.171625841809332
99,18.497595047377732
100,10.171450444974683
101,5.85782844571662
102,11.544156817043103
103,1.5931139912393135
104,11.03246495056635
105,9.726029518749964
106,14.63470445008105
107,6.243446827864593
108,10.47721609264537
109,10.218683525569878
110,10.130530783933722
111,17.708165305347705
112,3.357187942777081
113,8.406804450628341
114,13.580030549740737
115,7.735455979108616
116,6.979488947419222
